Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP,Country
1,harvard university,1/1,100,97.1,100,100,100,85.7,US
2,stanford university,1/2,45.3,88.1,73.1,83.9,73.1,59.6,US
3,massachusetts institute of technology (mit),1/3,71.9,82.8,55.2,70.8,59.1,73.6,US
4,university of cambridge,1/1,78.2,90.8,45.1,59.8,67.2,60.6,GB
5,"university of california, berkeley",1/4,65.3,76.5,46.9,62.8,57.1,55.5,US
6,university of oxford,1/2,49.5,59.7,51.3,57.2,77.1,47.9,GB
7,princeton university,1/5,61.2,100,26,51.3,42.3,75.3,US
8,california institute of technology,6/7,55.7,63.4,29.8,57.9,41,100,US
8,columbia university,6/7,59.4,63.2,42.7,51.9,67,31.6,US
10,university of chicago,1/8,59,84.5,32.5,44.9,53,44.2,US
11,yale university,1/9,50.3,49.6,45.1,54.3,65.2,38.6,US
12,paris-saclay university,1/1,36.9,73.8,33.8,33.9,65.7,47.1,France
12,cornell university,1/10,42.2,44.2,41.7,55.8,63.9,45,US
14,university of pennsylvania,1/11,32,39.6,51.7,44.5,68.5,42.6,US
15,"university of california, los angeles",1/12,29.8,45,44.6,51,67.2,29.1,US
16,university college london,1/3,27,31.5,48.7,41.7,78.5,34.1,GB
17,johns hopkins university,1/13,34,34.6,45.6,38.7,74.6,29.3,US
18,university of washington,14-15,22.6,33.2,43.7,52.3,71.4,25.9,US
18,"university of california, san diego",14-15,18,32.4,54.5,51.7,60.8,32.7,US
20,"university of california, san francisco",1/16,0,41.9,49.6,55.6,60.1,31.1,US
21,eth zurich,1/1,26.5,42.2,30.5,53.3,54.6,48.8,Switzerland
22,tsinghua university,1/1,9,0,57.5,47.1,86.2,34,CN
23,washington university in st. louis,1/17,20.8,27.4,47.8,39.1,53.2,36.7,US
24,peking university,1/2,10.4,0,41.2,44,89.2,32.2,CN
25,imperial college london,1/4,12.7,31.3,37.4,36.2,63.7,39.2,GB
26,university of toronto,1/1,16.4,13,39.1,36.6,82,30.3,CA
27,zhejiang university,1/3,0,0,41.2,37,99.5,27,CN
28,the university of tokyo,1/1,36.3,23.5,21.6,45.3,68.6,24,JP
29,rockefeller university,1/18,15.6,57.6,26.8,41.7,16,74.4,United States
30,university of michigan-ann arbor,1/19,37.1,9.8,33.2,39.1,74,23.3,US
31,new york university,1/20,26.5,35.1,29.8,40.1,56.5,19.9,US
32,university of copenhagen,1/1,18.7,20.6,30.5,36.3,66.4,36.1,DK
33,psl university,1/2,50.3,45.1,9.2,23.7,52.6,50,IN
33,northwestern university,1/21,12.7,25.8,38.5,38.3,57.6,28.9,US
35,university of north carolina at chapel hill,1/22,7.3,21.9,41.7,34.1,59.8,32.2,US
36,university of wisconsin - madison,1/23,28,31.3,27.6,31.7,59.9,24,US
37,the university of melbourne,1/1,14.7,11.3,42.2,24.6,72,32.2,AU
38,shanghai jiao tong university,1/4,0,0,32.5,28.3,95.7,27.4,CN
39,duke university,1/24,19.4,17.8,33.2,37.7,60.1,22.1,US
40,the university of edinburgh,1/5,25.4,22.6,35.7,28.9,55.2,27.3,GB
41,sorbonne university,1/3,38.6,23.4,20.6,29.2,61.4,27.4,AE
42,university of science and technology of china,1/5,0,0,41.2,34.2,76.1,31.3,CN
43,karolinska institute,1/1,22.6,23.8,22.5,25.1,56,53.2,SE
43,university of munich,1/1,24.9,19.2,25.2,32,55.2,42.7,RS
45,the university of texas at austin,1/25,23.2,21.6,32.5,29,55.6,28.6,United States
45,kyoto university,1/2,33.6,38.8,17.2,25.7,55.2,21.7,JP
47,"university of minnesota, twin cities",1/26,26,15,36.2,26.9,60.5,22.7,United States
47,technical university of munich,1/2,34,17.2,22.5,26.9,55.3,47.9,Ghana
47,university of british columbia,1/2,13.7,17.2,31.9,29.6,65.5,24.1,CA
50,heidelberg university,1/3,18,21.1,20.6,32.5,53.6,50.3,PK
50,fudan university,1/6,0,0,36.8,31.1,80.5,27.4,CN
52,the university of manchester,1/6,14.7,29.1,22.5,30.5,57.3,28.6,GB
53,king's college london,1/7,23.2,16.8,41.2,18.5,57.5,29.4,CA
54,the university of texas southwestern medical center at dallas,1/27,17.2,31.4,31.2,34.4,39.9,27.4,US
55,utrecht university,1/1,20.8,17.2,35.1,24.2,57.3,27.6,NL
55,university of illinois at urbana-champaign,1/28,25.4,33,17.2,29.9,51.9,26.1,US
55,swiss federal institute of technology lausanne,1/2,0,29.1,25.2,38.2,39.8,50.7,CH
58,university of geneva,1/3,37.4,37.3,13,25.7,43.2,37.9,CH
58,"university of maryland, college park",1/29,17.2,18.4,29.8,35.6,48.5,31.5,United States
60,université paris cité,1/4,13.9,10.1,34.4,27.9,59.5,25,BE
61,university of bonn,1/4,30.3,33,18.4,20.7,41.8,42.6,NG
62,university of southern california,1/30,0,29.1,31.2,23.6,53.3,25,US
63,the university of queensland,1/2,11.6,0,39.1,24.1,63.6,34.1,AU
64,"university of california, santa barbara",1/31,13.7,36,18.4,35.2,34.5,35.8,US
65,university of colorado at boulder,2/1,11.6,31.4,19.5,32.2,43.8,31.9,US
66,vanderbilt university,2/2,13.7,26.1,26,21,51.3,33.5,US
67,university of zurich,1/4,0,20.6,23.5,30.7,54.5,35.8,CH
68,national university of singapore,1/1,0,0,40.7,24.9,63.1,33.5,SG
69,university of groningen,1/2,12.7,22.6,26,21.3,54.4,28.3,NL
69,the university of hong kong,1/1,0,0,48.7,24.2,56.5,29.9,HK
69,weizmann institute of science,1/1,16.4,15,32.5,39.7,26.3,45.3,IL
72,university of oslo,1/1,24.9,29.1,18.4,15,54.4,29.2,NO
72,sun yat-sen university,1/7,0,0,27.6,17.8,85.9,25,China
74,university of sydney,1/3,12.7,0,34.4,21.4,66.4,29.7,AU
74,mcgill university,1/3,29.4,0,26,30.4,58.7,27.3,CA
76,"university of california, irvine",2/3,14.7,26.9,25.2,25,46.4,24.6,US
77,the university of new south wales,1/4,0,0,38,25.2,63.3,31.3,AU
78,ku leuven,1/1,0,0,32.5,28.2,59.8,32.9,BE
79,huazhong university of science and technology,1/8,0,0,26.8,18.7,79.1,23,CN
80,aarhus university,1/2,10.4,20.3,15.9,24.4,55.7,28.2,DK
81,the hebrew university of jerusalem,1/2,29.8,26.1,13,22.7,43.2,30.7,IL
82,the ohio state university - columbus,2/4,10.4,16.8,20.6,21,62.7,17,US
82,nanjing university,1/9,0,0,26.8,27.6,66.8,26.6,CN
82,monash university,1/5,0,0,26,25.5,67.9,30.8,AU
85,technion-israel institute of technology,1/3,22,34.9,13,20.7,34.9,39.6,IL
86,seoul national university,1/1,15.6,0,19.5,24.4,68.4,26,KR
86,the university of texas m. d. anderson cancer center,2/5,0,13.8,35.1,20.4,36.9,53.7,US
88,uppsala university,1/2,20.1,20.6,14.6,24,49.9,27.1,SE
89,wuhan university,1/10,0,0,29.1,20.5,72.5,20.3,CN
90,king saud university,1/1,0,0,40.1,6.1,73,24.9,SA
90,ghent university,1/2,0,9.2,32.5,17.8,55.5,33.3,US
90,nanyang technological university,1/2,0,0,42.2,20.4,53.9,30.3,SG
90,university of pittsburgh,2/6,16.4,0,31.2,25.2,58,18.1,US
94,central south university,1/11,0,0,27.6,9.3,81.6,24.5,CN
95,xi'an jiaotong university,1/12,0,0,25.2,16.8,77.4,22,CN
95,university of basel,1/5,21.4,14.1,15.9,29.7,40.1,39.2,CH
97,university of bristol,1/8,5.2,13,28.4,26.3,46,27.4,GB
98,sichuan university,1/13,0,0,21.6,15.4,81,22.6,CN
99,university of helsinki,1/1,15.6,16,18.4,21.7,51.8,26.4,FI
100,purdue university - west lafayette,2/7,11.6,20.9,20.6,19.8,49.3,23.2,US
101-150,jilin university,14-22,0,0,23.5,14,65.9,17,CN
101-150,beijing institute of technology,14-22,0,0,36.2,12.7,59.3,22.4,CN
101-150,southern university of science and technology,14-22,0,0,26.8,23.1,49.2,35.9,KR
101-150,mayo clinic college of medicine and science,39-50,0,0,39.6,16,48.5,27.4,United States
101-150,southeast university,14-22,0,0,23.5,9.6,71.6,21.7,BD
101-150,south china university of technology,14-22,0,0,28.4,10.8,61.7,21.9,CN
101-150,shandong university,14-22,0,0,21.6,14.3,74.6,18.8,CN
101-150,tianjin university,14-22,0,0,32.5,11.1,67.4,22,CN
101-150,northwestern polytechnical university,14-22,0,0,34.4,12.1,58.5,21.9,CN
101-150,harbin institute of technology,14-22,0,0,22.5,16.1,74.1,23.9,CN
101-150,the chinese university of hong kong,2/3,0,13,19.5,10.6,56.7,25.3,Hong Kong
101-150,boston university,39-50,17.2,10.6,19.5,21.1,51.4,22,US
101-150,the university of glasgow,9/12,14.7,0,25.2,21.4,45.2,24.6,GB
101-150,city university of hong kong,2/3,0,0,36.2,17.7,50.1,31,HK
101-150,mcmaster university,4/5,18,17.2,27.6,12.4,45.1,30.7,CA
101-150,university of alberta,4/5,10.4,16,18.4,16.8,54.9,26.5,CA
101-150,brown university,39-50,23.8,18.2,11.3,19.8,44.8,33.3,US
101-150,nagoya university,1/3,27,23.5,13,18.1,43.7,19.8,JP
101-150,université libre de bruxelles (ulb),1/3,18,24.4,14.6,17.8,33.6,35.3,BE
101-150,university of warwick,9/12,12.7,27.6,14.6,19.4,41,27.3,GB
101-150,university of liverpool,9/12,14.7,9.2,18.4,20.2,46.6,26.3,GB
101-150,moscow state university,1/1,37.8,29.1,0,11.8,49.5,27.3,RU
101-150,university of nottingham,9/12,18.7,18.4,17.2,14.8,45.2,23.5,GB
101-150,radboud university nijmegen,3/6,15.6,0,26,20.7,48.5,29.2,NL
101-150,carnegie mellon university,39-50,28.9,27.6,9.2,22.6,31.5,27.8,US
101-150,university of freiburg,1/5,20.8,14.6,19.5,23.4,38.8,41.8,CH
101-150,pennsylvania state university - university park,39-50,9,0,22.5,32.6,47.9,16.4,US
101-150,icahn school of medicine at mount sinai,39-50,0,0,41.2,27.6,42.5,18.6,United States
101-150,"university of california, davis",39-50,12.7,0,23.5,26,54.1,21.6,US
101-150,leiden university,3/6,14.7,0,29.8,21.6,52,27,NL
101-150,university of florida,39-50,15.6,0,19.5,20,62.9,23.1,US
101-150,rice university,39-50,18.7,19.9,21.6,24.1,28.7,33.1,US
101-150,"rutgers, the state university of new jersey - new brunswick",39-50,7.3,16,22.5,19.3,43.1,15.9,US
101-150,university of bern,6/7,11.6,0,18.4,24.8,47,34.4,CH
101-150,the university of western australia,6/7,19.4,13,24.4,14.3,46.4,33.6,AU
101-150,sapienza university of rome,1/1,14.7,22.6,9.2,14.3,53.1,20.4,AE
101-150,university of lausanne,6/7,16.4,16,15.9,22.4,37.2,24.7,CH
101-150,emory university,39-50,0,0,23.5,21.3,53.7,27.5,US
101-150,university of utah,39-50,0,10.6,14.6,23.6,50.7,21.7,US
101-150,university of gothenburg,3/5,0,14.1,23.5,16.6,44.7,23.1,AE
101-150,the australian national university,6/7,12.7,17.4,19.5,24.2,43.5,29.7,AU
101-150,university of sao paulo,1/1,0,0,17.2,16.3,70.7,17.7,AE
101-150,université grenoble alpes,5/7,11.6,13,15.9,22.2,45.9,20.6,France
101-150,lund university,3/5,18,16.8,17.2,17.8,51.6,24.9,SE
101-150,university of vienna,1/1,16.4,11.9,20.6,23.5,40,30.3,IT
101-150,university of strasbourg,5/7,26,30.2,6.5,18.9,35.4,22.8,France
101-150,erasmus university rotterdam,3/6,13.7,13,25.2,15,51.4,32.5,NL
101-150,aix marseille university,5/7,16.4,0,18.4,21.3,52.3,20.1,US
101-150,university of amsterdam,3/6,0,0,30.5,20.6,54.1,23.9,NL
101-150,stockholm university,3/5,20.8,22.6,13,23.8,40.5,25.8,SE
151-200,beihang university,23-33,0,0,22.5,15.3,57.1,19.1,EG
151-200,nankai university,23-33,0,0,27.6,15.8,50.8,19.6,CN
151-200,hunan university,23-33,0,0,27.6,9.9,51.9,20.4,CN
151-200,beijing normal university,23-33,14.7,0,15.9,14,57.9,20.1,CN
151-200,university of electronic science and technology of china,23-33,0,0,28.4,12.8,55.8,19.6,CN
151-200,soochow university,23-33,0,0,29.8,9.5,58.8,18.5,TW
151-200,delft university of technology,7/9,10.4,0,15.9,24.8,43.2,22,NL
151-200,wageningen university & research,7/9,0,0,27.6,16.8,41,28.4,NL
151-200,university of goettingen,6/11,29.4,0,13,25.2,34.9,35.5,NL
151-200,tongji university,23-33,0,0,9.2,11,71,21.5,CN
151-200,arizona state university,51-59,0,18.4,18.4,18.9,43.3,18.2,US
151-200,shenzhen university,23-33,0,0,21.6,12.4,57.1,19.2,CN
151-200,xiamen university,23-33,0,0,20.6,17.5,57.6,19.6,CN
151-200,university of rochester,51-59,30.7,5.3,9.2,20.8,37.5,16.7,US
151-200,vrije universiteit amsterdam,7/9,0,0,23.5,18,48.6,24.6,Netherlands
151-200,university of cologne,6/11,0,9.2,14.6,22.1,39.6,32.1,IT
151-200,norwegian university of science and technology - ntnu,1/2,11.6,19.5,13,13.4,45.4,19.9,KR
151-200,case western reserve university,51-59,29.8,9.2,20.6,13,38,26.9,US
151-200,university of montreal,6/8,10.4,0,15.9,21.3,52.2,24.9,US
151-200,university of mainz,6/11,0,6.5,17.2,20.3,36.4,35.4,United States
151-200,michigan state university,51-59,7.3,0,15.9,21.5,50.6,18.9,US
151-200,university of tuebingen,6/11,20.8,0,15.9,22.1,40.7,35.8,IT
151-200,chongqing university,23-33,0,0,22.5,5,62.4,19.4,CN
151-200,goethe university frankfurt,6/11,31.6,0,14.6,19.1,38.8,34,AE
151-200,zhengzhou university,23-33,0,0,14.6,8.3,68,17.8,CN
151-200,the university of calgary,6/8,0,0,25.2,15.2,47.7,21.9,CA
151-200,university of muenster,6/11,18,9.2,13,20.7,34.3,29.1,GB
151-200,university of barcelona,1/1,0,0,18.4,13.5,51,28.1,Spain
151-200,sungkyunkwan university,1/2,0,0,18.4,16.1,52,24.2,"Korea, Republic of"
151-200,university of arizona,51-59,13.7,0,13,24.7,47.1,21.1,US
151-200,"university of california, santa cruz",51-59,0,0,29.1,25.8,28.2,32.3,US
151-200,the hong kong polytechnic university,1/4,0,0,23.5,9.8,58.7,22.3,HK
151-200,cardiff university,13-20,0,15,13,18.8,39.2,22,GB
151-200,london school of hygiene & tropical medicine,13-20,5.2,0,28.4,14.7,35.1,36.8,GB
151-200,university of southampton,13-20,0,0,22.5,19.9,43.9,25.3,GB
151-200,university of exeter,13-20,0,0,25.2,22,40.5,24.9,GB
151-200,the university of sheffield,13-20,16.4,11.3,14.6,17.1,43.4,23.5,United Kingdom
151-200,london school of economics and political science,13-20,22,15,11.3,,30.6,29,GB
151-200,tokyo institute of technology,1/4,11.6,27.6,6.5,14.2,34.4,24.3,JP
151-200,university of milan,2/3,15.6,0,18.4,12.6,50.4,22.4,IT
151-200,university of pisa,2/3,19.4,20.6,6.5,7.9,40.8,23.4,IT
151-200,indiana university bloomington,51-59,15.6,18.4,18.4,13.3,37.7,19.7,United States
151-200,university of waterloo,6/8,0,13.8,23.5,9.2,43,22.6,CA
151-200,technical university of denmark,1/3,13.7,9.2,21.6,19.1,39.9,21.6,DK
151-200,georgia institute of technology,51-59,11.6,0,23.5,20.5,40.3,29,US
151-200,tufts university,51-59,17.2,14.6,15.9,11.8,33.3,25.1,US
151-200,the university of adelaide,1/8,12.7,0,29.8,13.3,42.8,31.9,AU
151-200,university of montpellier,1/8,9,0,13,20.6,47.7,23.6,ME
151-200,university of birmingham,13-20,16.4,6.5,14.6,18.7,48.4,23.4,GB
151-200,university of leeds,13-20,15.6,0,11.3,20.8,45.3,21,GB
201-300,university of wuerzburg,12/22,18,0,14.6,20.5,34.3,33.7,LU
201-300,fuzhou university,34-51,0,0,18.4,6.3,43,16.3,CN
201-300,beijing university of chemical technology,34-51,0,0,23.5,6.5,38.3,19.8,CN
201-300,east china normal university,34-51,0,0,14.6,14.1,45.1,16.1,CN
201-300,capital medical university,34-51,0,0,6.5,9.1,58.6,37.6,CN
201-300,nanchang university,34-51,0,0,20.6,5.2,46.3,16.6,CN
201-300,china university of geosciences,34-51,0,0,20.6,8.7,47.1,18.9,CN
201-300,nanjing medical university,34-51,0,0,11.3,8.9,53.6,26,CN
201-300,jiangsu university,34-51,0,0,14.6,2.7,51.7,16.3,CN
201-300,wuhan university of technology,34-51,0,0,21.6,8,46.8,15.4,CN
201-300,national taiwan university,1/1,10.4,0,15.9,9.1,50.5,19.6,TW
201-300,china agricultural university,34-51,0,0,26,10,48.4,20.3,CN
201-300,university of science and technology beijing,34-51,0,0,13,7.6,52.9,19.9,CN
201-300,the university of auckland,1/1,12.7,0,18.4,9.2,41.6,23.4,NZ
201-300,dalian university of technology,34-51,0,0,21.6,6.4,58.2,17,CN
201-300,nanjing university of aeronautics and astronautics,34-51,0,0,19.5,3.2,49.8,18.3,CN
201-300,shanghai university,34-51,0,0,14.6,7.9,48.7,14.3,CN
201-300,northeastern university (shenyang),34-51,0,0,13,6.9,53.2,19.2,CN
201-300,peking union medical college,34-51,0,0,17.2,8.7,51.1,33.1,AM
201-300,jinan university,34-51,0,0,11.3,9.9,50.2,17.5,CN
201-300,university of hamburg,12/22,13.7,0,9.2,20.2,38.6,28.7,GB
201-300,lanzhou university,34-51,0,0,11.3,9.2,50.4,18.1,CN
201-300,korea advanced institute of science and technology,3/6,0,0,11.3,22.1,37.3,28.4,KR
201-300,griffith university,9/15,0,0,13,13.5,39.4,24,AU
201-300,korea university,3/6,0,0,13,11.3,51.4,21.1,JP
201-300,karlsruhe institute of technology (kit),12/22,0,0,11.3,7.3,39.8,37.7,IE
201-300,university of innsbruck,2/3,0,6.5,11.3,19.1,27.9,24.7,AT
201-300,queen's university,9/12,12.7,19.5,11.3,9,35.2,24.5,CA
201-300,university of ottawa,9/12,0,0,23.5,11.4,46.3,23.4,CA
201-300,university of manitoba,9/12,10.4,0,19.5,7.2,35.2,19.9,CA
201-300,queensland university of technology,9/15,0,0,20.6,7,38.4,23.2,AU
201-300,university of leipzig,12/22,9,9.2,13,12.3,35.3,31.1,AE
201-300,heinrich heine university duesseldorf,12/22,10.4,0,19.5,12.2,31.9,35.9,DE
201-300,technical university of berlin,12/22,12.7,0,11.3,16.1,31,31.9,PL
201-300,curtin university,9/15,0,0,15.9,15.4,39.8,29.3,AU
201-300,deakin university,9/15,0,0,19.5,7.4,43.4,25.4,AU
201-300,macquarie university,9/15,0,0,9.2,17,39.1,26.2,AU
201-300,tu dresden,12/22,0,0,20.6,13.2,42.7,34.9,DE
201-300,university of technology sydney,9/15,0,0,21.6,9.2,40.4,26.6,AU
201-300,swinburne university of technology,9/15,0,0,20.6,11.6,29,30,AU
201-300,catholic university of louvain,1/4,9,11.9,17.2,10,29.5,25,PL
201-300,medical university of vienna,2/3,7.3,0,14.6,17.4,37.1,27,BG
201-300,king abdullah university of science and technology,2/3,0,0,29.8,15.5,31.7,19.6,SA
201-300,king abdulaziz university,2/3,0,0,22.5,4.5,50.2,15.1,SA
201-300,ulsan national institute of science and technology,3/6,0,0,19.5,17.7,23.8,32.6,"Korea, Republic of"
201-300,yonsei university,3/6,0,0,13,12.9,57.6,21.5,KR
201-300,kiel university,12/22,7.3,9.2,15.9,11.5,30,28.3,ES
201-300,trinity college dublin,1/1,12.7,11.3,18.4,12.8,34.3,18.4,AE
201-300,university of buenos aires,1/1,11.6,20.6,6.5,6.1,32,17,AE
201-300,national autonomous university of mexico,1/1,11.6,0,0,12.5,51.8,22.9,AE
201-300,university of turin,4/8,12.7,0,15.9,10,45.4,20.4,IT
201-300,tohoku university,5/9,13.7,0,13,16.1,48.7,15.7,JP
201-300,university of delaware,60-78,9,15,13,10.3,31.1,18.8,US
201-300,university of lisbon,1/2,0,6.5,9.2,12.7,51.1,18.6,GB
201-300,university of massachusetts amherst,60-78,12.7,0,22.5,18.7,35.1,23.3,US
201-300,northeastern university (boston),60-78,0,0,17.2,17.1,32.3,18.2,CN
201-300,george mason university,60-78,0,29.1,6.5,12.3,30.6,19.6,US
201-300,"university of california, riverside",60-78,11.6,0,15.9,21,32.2,24,US
201-300,university of virginia,60-78,0,0,14.6,22,44.1,17.5,US
201-300,virginia commonwealth university,60-78,9,13,11.3,6.2,34.7,14.3,US
201-300,university of sussex,21-25,0,20.3,13,11.9,29.4,23.5,GB
201-300,virginia polytechnic institute and state university,60-78,10.4,0,14.6,15.7,41,18,US
201-300,texas a&m university,60-78,0,0,13,21.1,50.6,18.9,US
201-300,colorado state university,60-78,0,0,14.6,16.4,35.6,19.5,US
201-300,north carolina state university - raleigh,60-78,0,0,17.2,12.8,40.3,18.5,US
201-300,baylor college of medicine,60-78,0,0,19.5,22.6,41.8,15.8,US
201-300,university of tennessee - knoxville,60-78,9,0,13,12.6,39.2,19.8,US
201-300,university of missouri - columbia,60-78,7.3,13.8,14.6,8,36.2,16.7,US
201-300,university of massachusetts chan medical school,60-78,0,18.4,14.6,20.2,22.6,18.9,HU
201-300,claude bernard university lyon 1,9/11,9,0,11.3,21.6,39.9,20.7,AE
201-300,tel aviv university,1/4,0,0,9.2,19.5,50.4,27.6,IL
201-300,university of east anglia,21-25,22,0,15.9,12.5,28.3,24.6,GB
201-300,university of houston,60-78,0,0,14.6,13.6,38.4,22.3,US
201-300,university of naples federico ii,4/8,0,0,14.6,10.8,50.1,19.5,IT
201-300,university of valencia,1/2,0,0,13,10.3,45.7,18.6,ZA
201-300,polytechnic university of milan,4/8,5.2,13,6.5,9.9,39,20.6,JP
201-300,university of padua,4/8,0,0,13,15.8,54.4,22.4,IT
201-300,newcastle university,21-25,0,0,11.3,17.4,40.7,20.6,United Kingdom
201-300,university of cape town,1/1,16.4,0,11.3,13.8,37.5,18.3,ZA
201-300,university of bordeaux,9/11,12.7,0,9.2,19.9,38.1,19.1,RO
201-300,university of erlangen-nuremberg,12/22,0,0,13,17.7,39.5,29.9,AE
201-300,ruhr university bochum,12/22,0,0,13,12.3,36.5,30.2,DE
201-300,rwth aachen university,12/22,0,0,9.2,18.5,44.8,35.9,AE
201-300,western university,9/12,0,0,17.2,5,44.2,21.4,AZ
201-300,university of aberdeen,21-25,0,11.3,20.6,8,28.4,24,GB
201-300,university of lorraine,9/11,10.4,13,11.3,11.3,35.1,14.6,NG
201-300,the hong kong university of science and technology,1/5,0,0,17.2,9.8,39.3,21.2,HK
201-300,queen mary university of london,21-25,15.6,0,15.9,17.3,40.7,23.8,United Kingdom
201-300,oregon health and science university,60-78,0,0,15.9,17.7,34,18.9,US
201-300,university of bergen,1/3,13.7,0,6.5,16,37.3,21.5,NO
201-300,maastricht university,1/10,0,0,13,7.6,44.3,26.3,Netherlands
201-300,osaka university,5/9,17.2,0,6.5,18.9,49.4,15.6,JP
201-300,kth royal institute of technology,1/6,0,13,9.2,12.8,36.8,27.6,Sweden
201-300,hokkaido university,5/9,10.4,15,6.5,16.1,42.3,16.6,JP
201-300,kyushu university,5/9,0,0,9.2,16.5,42.4,15.5,JP
201-300,university of porto,1/2,0,0,13,11.6,47.5,21.9,CA
201-300,university of colorado at denver,60-78,0,0,14.6,21.4,48.1,16.1,US
201-300,university of bologna,4/8,0,0,11.3,10.5,54.5,19.3,IT
201-300,university of tsukuba,5/9,0,17.6,0,14.6,37.6,16.9,JP
201-300,oregon state university,60-78,7.3,0,13,20.5,33,23.2,US
301-400,toulouse capitole university,12/16,0,27.6,0,,11.8,32.3,US
301-400,vienna university of technology,1/4,14.7,0,9.2,16.9,27,28.1,MU
301-400,complutense university of madrid,3/8,16.4,0,0,9.2,46.5,16.9,AE
301-400,albert einstein college of medicine,79-98,0,0,9.2,15.1,28.1,31.5,AE
301-400,princess nourah bint abdulrahman university,1/4,0,0,14.6,2,44.6,19.9,SA
301-400,simon fraser university,13-16,0,0,9.2,14.6,32.1,18.2,CA
301-400,university of connecticut,79-98,10.4,0,13,14.8,34.8,14.9,US
301-400,paul sabatier university (toulouse 3),12/16,0,0,14.6,17.4,34.5,18,FR
301-400,university of the basque country,3/8,0,0,6.5,13.5,38.6,20.7,AE
301-400,university of granada,3/8,0,0,15.9,6.6,43.4,16.4,GH
301-400,university of lille,12/16,0,0,9.2,10.5,39.2,14.5,Belgium
301-400,autonomous university of madrid,3/8,0,0,6.5,10.5,39.2,21.2,AE
301-400,laval university,13-16,0,0,13,7.2,39.1,18,CA
301-400,university of victoria,13-16,0,0,14.6,10.2,30.5,19.3,CA
301-400,institut polytechnique de paris,12/16,20.1,15.4,0,7.3,27.2,26.9,AR
301-400,ecole normale superieure - lyon,12/16,20.1,18.4,0,7.4,22.1,31.2,FR
301-400,autonomous university of barcelona,3/8,0,0,0,11.1,44.9,26.9,Spain
301-400,university of southern denmark,1/4,0,0,9.2,10.8,41.2,18.5,DK
301-400,national and kapodistrian university of athens,1/1,0,0,14.6,7.6,39.5,18.1,GR
301-400,university of florence,9/12,0,0,11.3,11.5,41.5,20.8,IT
301-400,pohang university of science and technology,7/8,0,0,9.2,14.3,29,31.9,KR
301-400,dalhousie university,13-16,11.6,0,11.3,9,34.6,20.3,CA
301-400,university of trento,9/12,0,0,17.2,9.1,31.6,25.1,IT
301-400,la trobe university,16-21,0,0,9.2,11.3,34.9,26.7,AU
301-400,university of st andrews,26-31,9,0,11.3,16.7,25.6,22,GB
301-400,university of genoa,9/12,0,0,15.9,4.9,36.7,21.5,IT
301-400,the university of texas health science center at houston,79-98,0,14.1,9.2,12.4,32.3,14.6,US
301-400,western sydney university,16-21,0,0,17.2,9,32,23.2,AU
